what,kind,bundleId,bundleVersion,description,time
error,log,,,"Downloading ELF Process failed",1503978040842
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1503978040882
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1503978043742
activated,view,com.altera.sbtgui.launch,13.0.0.156,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1503978050152
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1503978051012
activated,view,com.altera.sbtgui.launch,13.0.0.156,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1503978055654
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1503978105894
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1503978276554
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1503978276594
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1503978324574
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1503978361244
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1503978397074
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1503978400154
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1503978422014
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1503978431984
activated,view,com.altera.sbtgui.launch,13.0.0.156,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1503978470304
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1503978471194
activated,view,com.altera.sbtgui.launch,13.0.0.156,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1503978475846
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1503978492526
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1503978503376
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1503978503376
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1503978570396
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1503978570436
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1503978602136
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1503978615256
